a 工 戈
b 了 子
c 以 又
d 在 大
e 有 月
f 地 土
g 一 王
h 上 目
i 不 水
j 是 日
k 中 口
l 国 田
m 同 山
n 民 已
o 为 火
p 这 之
q 我 金
r 的 白
s 要 木
t 和 禾
u 产 立
v 发 女
w 人 几
x 经 幺
y 主 言
aa 式
ab 节
ac 芭
ad 苦
ae 功
af 革
ag 七
ah 牙
ai 东
aj 划
ak 或
al 苗
am 贡
an 艺
ao 蘑
ap 芝
aq 匹
ar 区
as 莆
at 攻
au 蒋
av 切
aw 共
ax 药
ay 芳
ba 陈
bb 子
bc 取
bd 承
be 阴
bf 际
bg 卫
bh 耻
bi 孙
bj 阳
bk 职
bl 阵
bm 出
bn 也
bo 耿
bp 辽
bq 陶
br 孤
bs 阿
bt 降
bu 联
bv 限
bw 队
bx 陛
by 及
ca 戏
cb 邓
cc 双
cd 参
ce 能
cf 对
cg 马
ch 犋
ck 台
cm 观
cn 予
cq 物
cs 牺
ct 矣
cv 艰
cw 难
cx 牝
cy 叉
da 左
db 破
dc 友
dd 大
de 历
df 夺
dg 三
dh 还
di 砂
dj 百
dk 右
dl 面
dm 而
dn 成
do 矿
dp 达
dq 克
dr 原
ds 厅
dt 故
du 辜
dv 肆
dw 其
dx 龙
dy 太
ea 肛
eb 服
ec 肥
ed 须
ee 朋
ef 肚
eg 且
eh 毡
ei 膛
ej 胆
ek 加
el 舆
em 觅
en 力
eo 脏
ep 边
eq 胸
er 貌
es 采
et 用
eu 胶
ev 妥
ew 办
ex 脂
ey 肪
fa 域
fb 坡
fc 支
fd 城
fe 协
ff 寺
fg 十
fh 直
fi 示
fj 刊
fk 吉
fl 雷
fm 南
fn 志
fo 赤
fp 过
fq 无
fr 垢
fs 某
ft 才
fu 增
fv 雪
fw 零
fx 坳
fy 坊
ga 开
gb 击
gc 到
gd 天
ge 表
gf 于
gg 五
gh 下
gi 求
gj 理
gk 事
gl 画
gm 现
gn 与
go 亚
gp 琛
gq 万
gr 珀
gs 末
gt 麦
gu 来
gv 妻
gw 珍
gx 互
gy 玉
ha 瞒
hc 眸
hd 非
he 肯
hf 睦
hg 睛
hh 步
hi 叔
hj 旧
hk 占
hl 卤
hm 贞
hn 虑
ho 虚
hp 瞎
hq 餐
hr 睥
hs 盯
ht 睡
hu 瞳
hv 眼
hw 具
hx 此
hy 眩
ia 江
ib 波
ic 汉
id 尖
ie 肖
if 汗
ig 光
ih 小
ii 水
ij 浊
ik 溃
il 渐
im 油
in 沁
io 渡
ip 党
iq 沟
ir 汽
is 浦
it 少
iu 洋
iv 当
iw 没
ix 涨
iy 济
ja 晓
jb 最
jc 坚
jd 晨
je 明
jf 时
jg 量
jh 早
ji 晃
jj 昌
jk 蝇
jl 曙
jm 遇
jn 电
jo 显
jp 蛇
jq 晚
jr 蝗
js 果
jt 鉴
ju 暗
jv 归
jw 蛤
jx 昆
jy 影
ka 呀
kb 啊
kc 吧
kd 顺
ke 另
kf 叶
kg 号
kh 足
ki 吵
kj 虽
kk 吕
kl 喂
km 员
kn 叫
ko 嘛
kp 喧
kq 兄
kr 听
ks 呆
kt 吃
ku 咬
kv 啸
kw 只
kx 哟
ky 唁
la 羁
lb 辄
lc 轻
ld 因
le 男
lf 团
lg 车
lh 四
lj 辊
lk 回
ll 田
lm 轴
ln 思
lo 辘
lp 连
lq 罗
lr 斩
ls 困
lt 略
lu 较
lv 轨
lw 界
lx 累
ly 罚
ma 曲
mb 邮
mc 峻
md 央
me 骨
mf 财
mg 赋
mh 由
mi 峭
mj 则
mk 迥
ml 崭
mm 册
mn 岂
mo 赃
mp 迪
mq 见
mr 冈
ms 赙
mt 败
mu 赠
mw 内
mx 幽
my 丹
na 异
nb 敢
nc 怪
nd 居
ne 尾
nf 导
ng 那
nh 收
ni 尿
nj 慢
nk 避
nl 惭
nm 届
nn 已
no 屡
np 忱
nq 懈
nr 怕
ns 懒
nt 改
nu 习
nv 恨
nw 恰
nx 尼
ny 心
oa 席
ob 籽
oc 序
od 类
oe 粗
of 庄
og 精
oh 业
oi 应
oj 烛
ok 燥
ol 库
om 灿
on 断
oo 炎
op 迷
oq 底
or 粕
os 床
ot 庭
ou 粒
ov 数
ow 府
ox 鹿
oy 广
pa 赛
pb 字
pd 害
pe 农
pf 守
pg 家
ph 寂
pi 宵
pj 审
pk 宫
pl 军
pm 宙
pn 官
po 灾
pp 之
pq 宛
pr 宾
ps 宁
pt 客
pu 实
pv 安
pw 空
px 它
py 社
qa 氏
qb 迎
qc 色
qd 然
qe 角
qf 针
qg 钱
qh 外
qi 尔
qj 旬
qk 名
ql 甸
qm 负
qn 包
qo 炙
qp 锭
qq 多
qr 勿
qs 钉
qt 儿
qu 匀
qv 争
qw 欠
qx 锴
qy 久
ra 找
rb 报
rc 反
rd 拓
re 拥
rf 质
rg 后
rh 看
ri 泉
rj 提
rk 扣
rl 押
rm 抽
rn 所
ro 扩
rp 近
rq 换
rr 折
rs 打
rt 手
ru 拉
rv 扫
rw 兵
rx 指
ry 搞
sa 模
sb 李
sc 权
sd 顶
se 杉
sf 票
sg 本
sh 相
si 档
sj 查
sk 可
sl 柬
sm 贾
sn 札
so 杰
sp 枕
sq 构
sr 析
ss 林
st 枚
su 样
sv 根
sw 机
sx 楷
sy 术
ta 长
tb 秀
tc 么
td 知
te 务
tf 等
tg 年
th 处
ti 秒
tj 得
tk 各
tl 备
tm 身
tn 乐
to 秋
tp 乏
tq 稳
tr 稀
ts 条
tt 秩
tu 冬
tv 委
tw 答
tx 每
ty 入
ua 并
ub 疗
uc 痛
ud 头
ue 前
uf 斗
ug 半
uh 着
ui 冰
uj 间
uk 问
ul 闸
um 端
un 闷
uo 普
uq 次
ur 交
us 亲
ut 道
uu 立
uv 妆
uw 闪
ux 北
uy 六
va 既
vb 好
vc 妈
vd 姑
ve 姐
vf 寻
vg 建
vh 肃
vi 录
vj 旭
vk 如
vl 姻
vm 姗
vn 恳
vo 灵
vp 退
vq 婚
vr 婢
vs 杂
vt 九
vu 嫌
vv 妇
vw 妗
vx 姆
vy 妨
wa 代
wb 他
wc 公
wd 估
we 佣
wf 什
wg 全
wh 个
wi 偿
wj 介
wk 保
wl 佃
wm 仙
wn 亿
wo 伙
wp 伫
wq 你
wr 风
ws 休
wt 八
wu 们
wv 分
ww 从
wx 化
wy 信
xa 红
xb 级
xc 弘
xd 顷
xe 组
xf 结
xg 线
xh 引
xi 纱
xj 旨
xk 强
xl 细
xm 贯
xn 纪
xo 继
xp 综
xq 约
xr 绵
xs 缚
xt 乡
xu 弱
xv 绍
xw 给
xx 比
xy 纺
ya 试
yb 享
yc 充
yd 诚
ye 衣
yf 计
yg 证
yh 让
yi 就
yj 刘
yk 训
yl 亩
ym 市
yn 记
yo 亦
yp 亮
yq 询
yr 义
ys 订
yt 放
yu 详
yv 良
yw 认
yx 率
yy 方
aaa 工
aad 匿 匞
aah 芽
aan 苣
aat 荛
aau 藏 戔
aay 式
abe 荫
abi 蒸
abm 茁
abn 芤
abu 萨
aby 芨
aca 茎
ack 苔
acn 茅
ada 莽
adb 苊
adc 茇
adf 蓐 苦
adg 葳
adh 荐
adk 若
adm 项
adw 葚
adx 茏
aeb 菔 芼
aee 荔
aeg 苴
aek 茄
aer 藐 艻
aes 菜
aet 散 功 㣉
aeu 藤
aev 荽
aew 苏
afa 鞯
afc 靶
afd 薷
afe 勒
afi 蒜
afj 靼 革 芉
afk 薹
afl 蕾
afm 贰
afn 苇
afp 鞍
afq 芜
afr 靳
afs 藉
aft 著
afu 蔷 苿
afw 鞭
afy 甙
aga 荆
age 菁
agf 芋
agh 蔫
agj 蕙
agm 芾
agq 葬
ags 茉
agt 廾
agv 萋
agx 荑
ahd 菲
ahg 蘧
ahi 菽
ahk 颐
ahn 臣
aht 邪 牙
ahx 茈
aia 茳
aib 范
aie 菹
aig 萍
aii 莎 东
aik 藻
ain 荡
aiq 鸫
air 蒎
ais 蒲
ait 蔽
aiy 茫
ajb 蕞
ajd 莫
aje 萌
ajl 蔓
ajq 葛
ajt 蓝
ajv 郾
akb 葺
akg 勤
akh 匮
akk 颧
akm 莴
aku 燕
ala 蔑
ald 茵
alf 薯 苗
aln 葸
alp 莲
alq 萝
alt 菌
alv 匦
amd 英
amf 苒 苖
amg 茼
amh 匝
amk 苘
amq 苋
amw 黄
ana 苠
anf 蔚 苢
anh 蔬
ank 薜
anm 贳
ann 蕊
anw 蓼
any 忒
aoa 蔗
aos 蘼 蘑
aov 蒌
apd 菪
ape 劳
apf 蒙
apg 莹
api 荥
apj 萤
apk 营
apl 荤
apn 茕
apo 荧
apq 菀
aps 荣
apt 荦
apw 蓉
apx 萦
aqa 芪
aqb 苑
aqe 萏
aqg 蓟
aqj 荀
aqk 警
aqn 苞
aqo 菊
aqr 葱
aqs 葡
aqt 萄
aqw 芡
aqy 芍
arc 葩
ard 菝
arg 瓯
arq 欧
art 萆
arw 殴
asg 苯
ash 葙
asj 蕈 艼
ask 苛
asr 菥
asw 菘
ata 苌
atb 莠
atd 医
atf 芊
atg 董
ath 蓰
atj 莉
atl 蓖
atm 薇
atn 薛
ato 蕃
atq 藜
atr 莪
atv 萎
atx 蘩
aua 臧
aub 蒴
auk 菩
auq 茨
aur 茭
aus 薪
aut 蒺
auv 蒹
auw 蔺
avd 菇
avf 荨
avh 萧
avk 茹
avy 芄
awb 苍 芁
awc 蓊
awd 茯
awf 蔡
awg 葵
awh 莜
awj 芥
awk 葆
awn 巷
aws 茶
awt 荏
awu 莅 共 䒔
awv 芬
aww 巫
awx 花
awy 恐
axa 荭
axf 荮
axg 莼
axj 蕴
axq 药
axt 芗
axx 芘
ayc 茺
ayh 苄
ayj 蔼
ayk 蓑
aym 蒿
ayn 芦
ayp 葶
ayq 鸢
ayr 蓠 芳
ayt 蔟
ayu 蒂 芠
ayv 莨
ayw 萃
ayx 蓄
bai 陈
bbb 子
bbc 陬
bca 陉
bcc 聂
bci 聚 夃
bcl 盈
bcv 娶
bda 隋
bde 随
bdi 承
bdj 陌
bdm 颇
bdx 陇
beg 阻 阴 䎳
bfd 孺
bfh 陡 皯 䦹
bfi 际
bfj 阱
bfq 阮
bfw 陵
bgb 陆
bgh 耳
bgk 隔
bgm 陋
bgq 阢
bgu 陕
bhg 蚩 耻 阯
bhh 骘
bhn 鼐
bib 函
big 卺
bij 隙
bip 逊
bjf 陧
bjm 隅
bjx 隰
bkc 亟
bkh 聩
bkm 陨
bkw 职
ble 勐
blg 隈 䧃
bmf 祟
bmg 聘
bmo 粜
bpf 院
bpq 耽
bps 聍
bpx 陀
bqe 陷
bqn 孢
bqt 聊
bqv 隐
brc 阪 孤
brg 隍
brq 隗
brt 陴
bsk 阿
btd 聒
btf 阡
btg 隆
bth 阼
bud 联
bue 隧
buj 障
buk 陪
buw 隘
bwf 附
bwg 除
bwj 阶
bwy 聆 队
bxx 陛
byn 孩
cad 颈
cae 劲
cap 迳
cay 巯 戏 牫
ccc 又
cdd 叁
cde 毵 参
cdl 畚
cds 犄
cee 勇
cep 通
cex 熊 能
cfn 犊
cga 驱
cgb 骤
cgc 驭
cgd 骑 马
cge 驵
cgg 骊
cgj 骒
cgk 驯
cgl 骡
cgm 骋
cgn 骣
cgp 驼
cgq 驹
cgr 驳
cgs 骠
cgt 骄
cgu 骈
cgw 验
cgy 驴
ckb 邰
ckn 怠
cko 炱
ckp 迨
cmq 观
cnh 巴
cqg 鸡
cqr 物
cqw 欢
ctd 矣
ctf 牿
ctg 牲
cvg 犍
cwt 皴
cwy 难
cyj 蚤
cym 犒
cyn 犏
dah 砑
dai 礴
daj 厝 㚏
dam 砸
dan 碟
dap 礞
dar 奁
dat 硗
dav 砌
daw 礤
day 硭 䂝
dbd 顾
dbm 础
dcc 磉
dcd 碜
dcg 码
dcw 雄
ddd 磊 㕆
ddg 碱 砳
ddh 厦
ddl 厣
ddm 硕
ddr 魇
ddw 厮
deb 郁
dee 髦 历
def 髻 有
deh 髭 砽
del 鬟
dem 髯
dep 鬃
deq 鹕
deu 鬈 長
dev 髫
dew 髹
dfa 奔
dfc 磕
dfe 辰
dff 奎 圶 夳
dfi 奈
dfn 砖
dft 奢
dfy 压
dga 研
dgb 砘
dgh 古
dgj 硬
dgk 咸
dgl 礓
dgm 碛
dgq 厉
dgu 砰
dgv 威
dgx 碡
dha 戛
dhb 存
dhd 慧
dhe 甭
dhf 在
dhg 歪 砋
dhi 蹙 不
dhp 还
dhq 艳
dht 夏
dhv 契
dia 磲
die 硝
dit 砂
djb 厚
djf 厘 百
djg 碍
djh 砷 矵
djn 奄
djq 碣
dlj 面
dma 碘
dmd 碳
dmf 碉
dmg 硐
dmh 布
dmj 厕 㞭
dmq 砚
dna 碾
dnh 嘏
dnj 尴
dnl 盛
dnq 尥
dnr 砀
dnw 尬
dny 尤
dol 盔
doq 磷
dpg 碹
dpq 碗
dpt 牵
dpx 砣
dqa 砥
dqd 兢 㕋
dqe 确
dqg 鸪 碒
dqw 砍
dri 愿 原
drr 爽
drt 碑
dsh 厢 矴
dsj 碴
dsk 奇 厅
dtb 邦
dtf 寿
dth 砟
dtk 硌
dtl 硇
dtn 砾
dtp 砭
dtr 硪
dua 磋
dub 劂
duc 磙
duj 鹩 辜 羍
duk 碚 厗
duo 碰
dux 磁
dva 厩
dvg 肆
dvi 碌
dwa 砼
dwe 期
dwf 基
dwg 奉
dwj 春
dwq 欺
dwr 斯
dwt 秦
dww 雁
dwx 綦
dwy 矾
dxj 砩
dxx 砒
dxy 聋 龙 砪
dyb 礅
dyc 硫
dyn 态
dyu 磅
dyw 碎
eaf 腻
eai 胨
eap 朦
eaw 毁
ebb 郛
ebc 服
ebn 乳 肔
eca 胫
eck 胎
ect 毪
edc 肱
edf 胯
edh 胚
edj 貊
edl 腼
edm 须
edw 腠
edx 胧
edy 肽 肰
eeb 脬
eee 月 毝
eeq 鹏
eew 胁
efc 肢
efj 肼
efk 膨
efm 腩
efn 肟
efp 脖
efq 朊
eft 豺
egb 肫
egc 县
egd 爰 且
ege 助
egk 膈
egm 肺
egw 雎
egx 胰
ehc 叟
ehd 腓
ehh 胩
ehk 毡 丯
ehn 胪
eig 胱
eil 盥
eip 膛
ejg 胆
ejl 腽
ejt 腥
ekc 驾
ekh 肿
ekk 腭
ekm 贺
ekp 迦
eks 架
eky 袈
eld 胭
ele 舅
elg 舆
eln 腮
elv 爵
ema 腆
emg 胴
emq 觅
emw 肭
eni 脲
enr 肠
enu 鼠
eof 脏
eoo 毯
eoq 膦
eou 臁 䊆
eow 腑
epc 受
epd 爱 迌
epe 脓 边
epf 腙
epg 腚
epq 腕
epr 膑
epv 胺
epw 腔
eqa 胝
eqd 脆
eqg 氇
eqk 朐
eqn 胞
eqo 舄
eqr 胸
eqw 肷
eqy 豹
erc 胍
eri 腺
erq 邈 貌
ers 脎
ert 脾
ese 彩
esf 膊
esv 腰
esw 膝
eta 胀
etf 遥
etg 胜
eth 臼
etj 腹
etk 胳
etl 貔
etn 用
ett 彡
ety 豸
eua 胼
eud 朕
eug 胖 䏠
euj 臆
euk 脱
euo 氆
eur 胶
euu 膳
evg 毽 肗
evk 貂
evp 腿
ewc 股
ewe 胗
ewf 脍
ewg 脸
ews 貅
eww 脞
exd 奚
exj 脂
eyj 脐
eyl 膻
eyn 脉
eyr 脑
eyu 膀
eyw 肮
eyx 臃
fae 霰
faf 霸 卋
fak 哉
fal 载
fam 贲
fan 堞
fas 栽
faw 塔
fay 裁
fby 圾 坡
fcb 却
fce 动
fcl 盍
fcn 翅
fcp 运
fcr 魂
fct 埃
fde 雳
fdf 震 雼
fdh 坏
fdj 埯
fdm 需
fdn 城
fdr 塬
fdw 堪
fdx 垅
fee 堋
fef 埒
fej 霾
feq 霓
few 协
ffc 坛
ffh 填
ffi 款
ffn 雩
fft 堵
ffu 墙 寺
fgc 垤
fgf 圩
fgh 士 十
fgj 垣
fgk 塥
fgo 垭
fgu 坪
fha 越
fhb 趣
fhd 霏
fhe 趄
fhf 矗 直 㱏
fhh 赴
fhi 趟
fhk 坫
fhl 盐
fhn 起
fho 墟
fhq 趋
fhr 赵
fht 趱
fhv 超
fhw 真
fie 霄
fig 霈
fiv 墚
fja 戟
fje 朝
fjf 埋
fjg 坦
fjh 坤 刊 刌
fjl 墁
fjn 塌
fjp 进
fjq 埸
fjt 乾
fjw 翰
fkd 颉
fke 袁
fkg 埕
fkk 酃
fkm 埚
fku 喜
fly 塄
fmg 垌
fmn 垲
fmu 献
fnh 韦
fni 墀
fnk 霹
fnu 卖 志 忈
fnw 块
fnx 坭
fny 专
fob 郝
fof 赫
fov 塘
fpb 勃
fpf 垸
fpg 壹
fpl 毂
fpo 壶
fpw 壳
fpx 索
fqa 坻
fqd 顽
fqk 鼋
fqn 雹
fqp 远
fqu 均
fqw 坎
frc 坂
frg 垢 坵
frt 埤
fry 坼
fsa 耢
fsb 耔
fsc 耙
fsd 耨
fse 耗
fsf 博
fsh 霜 圢
fsj 耦
fsk 坷
fsn 耜
fso 耱
fss 霖
fsw 耠
ftb 孝
ftd 嫠
fte 雾 才 耂
ftf 霆
ftg 考
fth 埏
ftj 者
ftm 垧
ftn 埠
ftx 老
fue 丧
fuf 幸 雴
fuj 境
fuk 培
ful 啬 增
fuv 霎
fvi 埭
fvp 埽
fwf 逵
fwn 堠
fws 垛
fww 赍
fwy 堆
fyb 墩
fyj 霁
fyk 壤
fyn 垓
